pin,slack
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:ADn,
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:ALn,6747
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:CLK,7768
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:D,6901
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:EN,
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:LAT,
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:Q,7768
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:SD,
M2S_MSS_sb_0/CORERESETP_0/sm0_state[5]:SLn,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_158:A,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_158:B,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_158:C,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_158:IPA,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_210:A,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_210:B,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_210:C,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_210:IPA,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_210:IPB,
CLK_BASE_ibuf/U0/U_IOPAD:PAD,
CLK_BASE_ibuf/U0/U_IOPAD:Y,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_61:A,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_61:B,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_61:C,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_61:IPA,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_61:IPB,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_77:A,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_77:B,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_77:C,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_77:IPA,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_77:IPB,
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:ADn,
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:ALn,16746
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:CLK,16783
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:D,16958
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:EN,18629
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:LAT,
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:Q,16783
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:SD,
M2S_MSS_sb_0/CORERESETP_0/count_ddr[8]:SLn,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:A,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:B,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:C,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:IPA,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_210:A,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_210:B,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_210:C,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_210:IPA,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_210:IPB,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_366:A,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_366:B,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_366:C,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_366:IPA,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_366:IPB,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_196:A,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_196:B,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_196:C,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_196:IPA,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_196:IPB,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_154:A,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_154:B,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_154:C,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_154:IPB,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_353:A,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_353:B,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_353:C,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_353:IPA,
SERDES_IF2_0/SERDESIF_INST/IP_INTERFACE_353:IPB,
M2S_MSS_sb_0/CORECONFIGP_0/paddr_RNIVFTE[15]:A,
M2S_MSS_sb_0/CORECONFIGP_0/paddr_RNIVFTE[15]:B,
M2S_MSS_sb_0/CORECONFIGP_0/paddr_RNIVFTE[15]:Y,
M2S_MSS_sb_0/M2S_MSS_sb_MSS_0/MDDR_DQ_6_PAD/U_IOINFF:A,
