pin,slack
AND2_0/U0:A,
AND2_0/U0:B,
AND2_0/U0:Y,
LED_ctrl_0/un2_counter_1_cry_1:A,
LED_ctrl_0/un2_counter_1_cry_1:B,1996834
LED_ctrl_0/un2_counter_1_cry_1:C,
LED_ctrl_0/un2_counter_1_cry_1:CC,1997482
LED_ctrl_0/un2_counter_1_cry_1:D,
LED_ctrl_0/un2_counter_1_cry_1:P,1996834
LED_ctrl_0/un2_counter_1_cry_1:S,1997482
LED_ctrl_0/un2_counter_1_cry_1:UB,
FCCC_0/CCC_INST/IP_INTERFACE_6:A,
FCCC_0/CCC_INST/IP_INTERFACE_6:B,
FCCC_0/CCC_INST/IP_INTERFACE_6:C,
FCCC_0/CCC_INST/IP_INTERFACE_6:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_6:IPC,
FCCC_0/CCC_INST/IP_INTERFACE_11:A,
FCCC_0/CCC_INST/IP_INTERFACE_11:B,
FCCC_0/CCC_INST/IP_INTERFACE_11:C,
FCCC_0/CCC_INST/IP_INTERFACE_11:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_11:IPB,
LED_ctrl_0/counter[10]:ADn,
LED_ctrl_0/counter[10]:ALn,
LED_ctrl_0/counter[10]:CLK,1997743
LED_ctrl_0/counter[10]:D,1996878
LED_ctrl_0/counter[10]:EN,
LED_ctrl_0/counter[10]:LAT,
LED_ctrl_0/counter[10]:Q,1997743
LED_ctrl_0/counter[10]:SD,
LED_ctrl_0/counter[10]:SLn,
LED_ctrl_0/un2_counter_1_cry_6:A,
LED_ctrl_0/un2_counter_1_cry_6:B,1997005
LED_ctrl_0/un2_counter_1_cry_6:C,
LED_ctrl_0/un2_counter_1_cry_6:CC,
LED_ctrl_0/un2_counter_1_cry_6:D,
LED_ctrl_0/un2_counter_1_cry_6:P,1997005
LED_ctrl_0/un2_counter_1_cry_6:UB,
LED_obuf[1]/U0/U_IOPAD:D,
LED_obuf[1]/U0/U_IOPAD:E,
LED_obuf[1]/U0/U_IOPAD:PAD,
LED_ctrl_0/un2_counter_cry_14:A,
LED_ctrl_0/un2_counter_cry_14:B,1997743
LED_ctrl_0/un2_counter_cry_14:C,
LED_ctrl_0/un2_counter_cry_14:CC,1996768
LED_ctrl_0/un2_counter_cry_14:D,
LED_ctrl_0/un2_counter_cry_14:P,
LED_ctrl_0/un2_counter_cry_14:S,1996768
LED_ctrl_0/un2_counter_cry_14:UB,
SYSRESET_0/INST_SYSRESET_IP:DEVRST_N,
SYSRESET_0/INST_SYSRESET_IP:POWER_ON_RESET_N,
LED_ctrl_0/un2_counter_cry_10:A,
LED_ctrl_0/un2_counter_cry_10:B,1997743
LED_ctrl_0/un2_counter_cry_10:C,
LED_ctrl_0/un2_counter_cry_10:CC,1996878
LED_ctrl_0/un2_counter_cry_10:D,
LED_ctrl_0/un2_counter_cry_10:P,
LED_ctrl_0/un2_counter_cry_10:S,1996878
LED_ctrl_0/un2_counter_cry_10:UB,
LED_ctrl_0/un2_counter_1_cry_9:A,
LED_ctrl_0/un2_counter_1_cry_9:B,1997111
LED_ctrl_0/un2_counter_1_cry_9:C,
LED_ctrl_0/un2_counter_1_cry_9:CC,
LED_ctrl_0/un2_counter_1_cry_9:D,
LED_ctrl_0/un2_counter_1_cry_9:P,1997111
LED_ctrl_0/un2_counter_1_cry_9:UB,
LED_ctrl_0/counter[15]:ADn,
LED_ctrl_0/counter[15]:ALn,
LED_ctrl_0/counter[15]:CLK,1997283
LED_ctrl_0/counter[15]:D,1996858
LED_ctrl_0/counter[15]:EN,
LED_ctrl_0/counter[15]:LAT,
LED_ctrl_0/counter[15]:Q,1997283
LED_ctrl_0/counter[15]:SD,
LED_ctrl_0/counter[15]:SLn,
FCCC_0/CCC_INST/IP_INTERFACE_12:A,
FCCC_0/CCC_INST/IP_INTERFACE_12:B,
FCCC_0/CCC_INST/IP_INTERFACE_12:C,
FCCC_0/CCC_INST/IP_INTERFACE_12:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_12:IPC,
PB_SW_ibuf/U0/U_IOPAD:PAD,
PB_SW_ibuf/U0/U_IOPAD:Y,
FCCC_0/CCC_INST/IP_INTERFACE_5:A,
FCCC_0/CCC_INST/IP_INTERFACE_5:B,
FCCC_0/CCC_INST/IP_INTERFACE_5:C,
FCCC_0/CCC_INST/IP_INTERFACE_5:IPB,
FCCC_0/CCC_INST/IP_INTERFACE_5:IPC,
LED_ctrl_0/un2_counter_cry_11:A,
LED_ctrl_0/un2_counter_cry_11:B,1997743
LED_ctrl_0/un2_counter_cry_11:C,
LED_ctrl_0/un2_counter_cry_11:CC,1996817
LED_ctrl_0/un2_counter_cry_11:D,
LED_ctrl_0/un2_counter_cry_11:P,
LED_ctrl_0/un2_counter_cry_11:S,1996817
LED_ctrl_0/un2_counter_cry_11:UB,
PB_SW_ibuf/U0/U_IOINFF:A,
PB_SW_ibuf/U0/U_IOINFF:Y,
LED_ctrl_0/un2_counter_1_s_17:A,
LED_ctrl_0/un2_counter_1_s_17:B,1997737
LED_ctrl_0/un2_counter_1_s_17:C,
LED_ctrl_0/un2_counter_1_s_17:CC,1996834
LED_ctrl_0/un2_counter_1_s_17:D,
LED_ctrl_0/un2_counter_1_s_17:P,
LED_ctrl_0/un2_counter_1_s_17:S,1996834
LED_ctrl_0/un2_counter_1_s_17:UB,
LED_ctrl_0/un2_counter_1_cry_16:A,
LED_ctrl_0/un2_counter_1_cry_16:B,
LED_ctrl_0/un2_counter_1_cry_16:C,
LED_ctrl_0/un2_counter_1_cry_16:CC,
LED_ctrl_0/un2_counter_1_cry_16:D,
LED_ctrl_0/un2_counter_1_cry_16:P,
LED_ctrl_0/un2_counter_1_cry_16:UB,
LED_ctrl_0/un2_counter_1_cry_15:A,
LED_ctrl_0/un2_counter_1_cry_15:B,
LED_ctrl_0/un2_counter_1_cry_15:C,
LED_ctrl_0/un2_counter_1_cry_15:CC,
LED_ctrl_0/un2_counter_1_cry_15:D,
LED_ctrl_0/un2_counter_1_cry_15:P,
LED_ctrl_0/un2_counter_1_cry_15:UB,
LED_ctrl_0/un2_counter_1_cry_11:A,
LED_ctrl_0/un2_counter_1_cry_11:B,
LED_ctrl_0/un2_counter_1_cry_11:C,
LED_ctrl_0/un2_counter_1_cry_11:CC,
LED_ctrl_0/un2_counter_1_cry_11:D,
LED_ctrl_0/un2_counter_1_cry_11:P,
LED_ctrl_0/un2_counter_1_cry_11:UB,
LED_ctrl_0/un2_counter_1_cry_12:A,
LED_ctrl_0/un2_counter_1_cry_12:B,1997034
LED_ctrl_0/un2_counter_1_cry_12:C,
LED_ctrl_0/un2_counter_1_cry_12:CC,
LED_ctrl_0/un2_counter_1_cry_12:D,
LED_ctrl_0/un2_counter_1_cry_12:P,1997034
LED_ctrl_0/un2_counter_1_cry_12:UB,
LED_ctrl_0/counter[0]:ADn,
LED_ctrl_0/counter[0]:ALn,
LED_ctrl_0/counter[0]:CLK,1996768
LED_ctrl_0/counter[0]:D,1997909
LED_ctrl_0/counter[0]:EN,
LED_ctrl_0/counter[0]:LAT,
LED_ctrl_0/counter[0]:Q,1996768
LED_ctrl_0/counter[0]:SD,
LED_ctrl_0/counter[0]:SLn,
FCCC_0/CCC_INST/IP_INTERFACE_9:A,
FCCC_0/CCC_INST/IP_INTERFACE_9:B,
FCCC_0/CCC_INST/IP_INTERFACE_9:C,
FCCC_0/CCC_INST/IP_INTERFACE_9:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_9:IPB,
FCCC_0/CCC_INST/IP_INTERFACE_9:IPC,
FCCC_0/CCC_INST/IP_INTERFACE_0:A,
FCCC_0/CCC_INST/IP_INTERFACE_0:B,
FCCC_0/CCC_INST/IP_INTERFACE_0:C,
FCCC_0/CCC_INST/IP_INTERFACE_0:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_0:IPB,
LED_ctrl_0/un2_counter_s_1_40:A,
LED_ctrl_0/un2_counter_s_1_40:B,1996878
LED_ctrl_0/un2_counter_s_1_40:C,
LED_ctrl_0/un2_counter_s_1_40:CC,
LED_ctrl_0/un2_counter_s_1_40:D,
